165	wm-115
166	b-cells
166	t-cells
172	adipose - subcutaneous
172	adipose - visceral (omentum)
172	adrenal gland
172	artery - aorta
172	artery - coronary
172	artery - tibial
172	bladder
172	brain - amygdala
172	brain - anterior cingulate cortex (ba24)
172	brain - caudate (basal ganglia)
172	brain - cerebellar hemisphere
172	brain - cerebellum
172	brain - cortex
172	brain - frontal cortex (ba9)
172	brain - hippocampus
172	brain - hypothalamus
172	brain - nucleus accumbens (basal ganglia)
172	brain - putamen (basal ganglia)
172	brain - spinal cord (cervical c-1)
172	brain - substantia nigra
172	breast - mammary tissue
172	cells - cultured fibroblasts
172	cells - ebv-transformed lymphocytes
172	cervix - ectocervix
172	cervix - endocervix
172	colon - sigmoid
172	colon - transverse
172	esophagus - gastroesophageal junction
172	esophagus - mucosa
172	esophagus - muscularis
172	fallopian tube
172	heart - atrial appendage
172	heart - left ventricle
172	kidney - cortex
172	kidney - medulla
172	liver
172	lung
172	minor salivary gland
172	muscle - skeletal
172	nerve - tibial
172	ovary
172	pancreas
172	pituitary
172	prostate
172	skin - not sun exposed (suprapubic)
172	skin - sun exposed (lower leg)
172	small intestine - terminal ileum
172	spleen
172	stomach
172	testis
172	thyroid
172	uterus
172	vagina
172	whole blood
173	caco-2
173	liver
174	basal ganglia
174	heart muscle
174	hep g2
174	liver
174	lung
175	b-cells
175	bj htert+
175	daudi
175	efo-21
175	karpas-707
175	kidney
175	liver
175	rptec tert1
175	sclc-21h
175	t-cells
177	hbf tert88
177	hek 293
177	htec/svtert24-b
177	lung
177	mcf7
177	nb-4
177	nk-cell
177	rptec tert1
177	testis
177	u-138 mg
177	u-266/70
178	liver
178	skeletal muscle
178	tongue
181	brain
181	caco-2
181	capan-2
181	epididymis
181	hela
181	hep g2
181	hmc-1
181	hypothalamus
182	eosinophil
182	hbec3-kt
182	htert-hme1
182	u-251 mg
183	hep g2
183	hep g2
183	liver
183	liver
183	thp-1
187	af22
187	brain
187	hel
187	k-562
187	lymphoid tissue
187	ntera-2
187	placenta
190	a549
190	adrenal gland
190	rt4
190	testis
196	htcepi
196	htert-hme1
196	placenta
196	rt4
197	hep g2
197	liver
197	nk-cell
197	nk-cells
199	blood
199	classical monocyte
199	dendritic cells
199	granulocytes
199	hel
199	hmc-1
199	intermediate monocyte
199	lymphoid tissue
199	monocytes
199	myeloid dc
199	nb-4
199	neutrophil
199	non-classical monocyte
199	thp-1
202	asc tert1
202	bone marrow
202	esophagus
202	hbec3-kt
202	htert-hme1
202	lymphoid tissue
202	placenta
202	pons and medulla
202	retina
202	sk-mel-30
202	t-cells
202	t-reg
203	fallopian tube
203	skeletal muscle
203	u-2197
205	classical monocyte
205	dendritic cells
205	granulocytes
205	hdlm-2
205	hel
205	hep g2
205	kidney
